Target lang,Transfer lang,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
stan1295,stan1289,0.9176,0.4815,0.4903,0.3548,0.4707,0.0426
stan1295,ital1282,0.9131,0.4697,0.4939,0.4034,0.4819,0.0257
stan1295,stan1293,0.6336,0.5393,0.5182,0.3931,0.4364,0.0437
stan1295,finn1318,1.0,0.552,0.4823,0.2468,0.4201,0.08
stan1295,bulg1262,0.8934,0.452,0.4607,0.359,0.5162,0.0467
stan1295,slov1268,0.8831,0.4943,0.4892,0.359,0.4255,0.0131
stan1295,slov1269,0.8831,0.7508,0.7139,0.5212,0.6221,0.0192
stan1295,roma1327,0.9078,0.4368,0.4263,0.3548,0.4541,0.0378
stan1295,croa1245,0.9014,0.5085,0.5084,0.4078,0.5062,0.0209
stan1295,stan1318,1.0,0.6323,0.6017,0.4498,0.5522,0.1426
stan1295,latv1249,0.8485,0.5057,0.5038,0.4034,0.4779,0.0497
stan1295,hebr1245,1.0,0.4765,0.4916,0.3064,0.4672,0.1107
stan1295,ukra1253,0.8831,0.4372,0.4617,0.4034,0.4605,0.0363
stan1295,indo1316,1.0,0.5727,0.5487,0.439,0.4906,0.396
stan1295,dani1285,0.6667,0.4459,0.4752,0.3548,0.4481,0.0298
